1,_,是正品,真伪,正面
1,_,擦在脸上勾称白嫩,功效,正面
1,_,不错的商品,整体,正面
2,颜色,明显,其他,负面
3,细腻,细腻,使用体验,正面
4,_,_,_,_
5,整体,效果不错,整体,正面
6,细腻,很细腻,使用体验,正面
6,贴合肤色,贴合肤色,使用体验,正面
6,提亮肌肤,一下子提亮了肌肤,使用体验,正面
7,_,特别好用,整体,正面
7,_,建议购买,整体,正面
7,_,很喜欢,整体,正面
8,_,_,_,_
9,_,_,_,_
10,_,不错,整体,正面
11,清爽,清爽,使用体验,正面
11,水润,水润,使用体验,正面
12,包装,一般,包装,中性
12,_,还行,整体,中性
13,_,一般般,整体,中性
14,_,不错,整体,正面
15,物流,速度快,物流,正面
15,包装,质量是怎么回事,包装,负面
15,盖子,裂了,包装,负面
15,包装,掉了一小块在盒子里,包装,负面
15,_,很不爽,整体,负面
16,_,没以前的好用,整体,负面
17,物流,速度快,物流,正面
18,_,很喜欢,整体,正面
18,_,很好用,整体,正面
19,_,_,_,_
20,_,自然,其他,正面
20,_,不油腻,其他,正面
21,_,挺好用的,整体,正面
21,_,好评,整体,正面
22,洗面奶,很适合,整体,正面
22,洗面奶,洗的比较干净,使用体验,正面
23,_,很不错呢,整体,正面
23,_,很贴肤细腻,整体,正面
24,_,不错,整体,正面
25,价格,双11确实比平时优惠,价格,正面
26,_,很好用,整体,正面
26,_,太贵了,价格,负面
26,_,这天气可以再过一久使用,使用体验,中性
26,_,有点干,使用体验,负面
27,_,真心不错,整体,正面
28,成膜,较慢,使用体验,负面
28,_,油腻,使用体验,负面
28,使用效果,一般,使用体验,中性
29,_,_,_,_
30,使用体验,还可以吧,使用体验,中性
30,_,有些发白,其他,负面
30,_,过会儿就自然了,其他,正面
31,_,_,_,_
32,卸妆液,好,使用体验,正面
32,卸妆液,卸妆干净,使用体验,正面
33,_,好用,整体,正面
33,_,摸上很自然,使用体验,正面
34,_,快,物流,正面
34,_,很好,整体,正面
34,_,不错,整体,正面
35,洗面奶,有刺激性,使用体验,负面
35,洗面奶,洗后有些痒,使用体验,负面
35,洗面奶,很不舒服,使用体验,负面
36,快递,很快的,物流,正面
37,_,很期待,整体,正面
37,物流,很快,物流,正面
37,_,很划算,价格,正面
38,面膜,很水润,使用体验,正面
38,包装,也不错,包装,正面
39,物流,很快,物流,正面
39,服务,很好,服务,正面
39,_,真的,真伪,正面
40,价格,特别划得来,价格,正面
41,面膜,水水的,使用体验,正面
41,面膜,很好用,使用体验,正面
41,面膜,感觉脸不紧绷了,使用体验,正面
42,_,一般,整体,中性
43,气味,酒精味重,气味,负面
44,_,很喜欢,整体,正面
45,_,很好,整体,正面
45,_,购买了好几次了,整体,正面
46,_,还可以,整体,中性
47,_,非常不错哦,整体,正面
47,气味,没有刺鼻的味道,气味,正面
48,_,_,_,_
49,包装,连个盒子都没有，直接塑料袋包好,包装,负面
49,_,太垃圾了,整体,负面
49,_,不值这个价,价格,负面
50,_,还不错,整体,正面
50,_,不方便呢,服务,负面
51,_,不错,整体,正面
52,整体,好用,整体,正面
52,_,显白,使用体验,正面
52,_,不油腻,使用体验,正面
53,_,价格挺便宜的,价格,正面
53,_,还送了两个替换装,其他,正面
54,快递,速度快,物流,正面
55,_,实惠,价格,正面
56,_,很喜欢,整体,正面
57,_,不怎么好用,整体,负面
58,卸妆水,亲肤柔和,使用体验,正面
58,卸妆水,满意,整体,正面
59,_,_,_,_
60,皮肤,很滑,使用体验,正面
60,皮肤,很嫩,使用体验,正面
61,_,_,_,_
62,使用体验,不好用,使用体验,负面
62,整体,不是想象那样,整体,负面
63,_,_,_,_
64,_,不错啊,整体,正面
65,质量,不错,整体,正面
65,送货师傅,很给力,服务,正面
65,_,送了一个替换装,其他,中性
66,物流,很快,物流,正面
67,洗面奶,好用,整体,正面
68,物流,非常快,物流,正面
68,包装,不错,包装,正面
69,快递,给力,物流,正面
70,_,还可以,整体,中性
71,_,_,_,_
72,包装,很一般,包装,中性
73,_,_,_,_
74,_,_,_,_
75,整体,真心不错,整体,正面
75,_,非常划算,价格,正面
75,_,有好,使用体验,正面
75,_,温和不刺激,使用体验,正面
76,_,_,_,_
77,_,真的好好用,整体,正面
77,_,无刺激,使用体验,正面
77,_,用完还会购买,整体,正面
78,价格,便宜,价格,正面
78,性价比,高,价格,正面
78,_,不错,包装,正面
78,_,应该还可以,整体,中性
79,包装,很好,包装,正面
79,快递,快,物流,正面
80,补水效果,不会让我失望,功效,正面
80,_,会继续光顾的,整体,正面
81,_,很好用,整体,正面
82,整体,不错,整体,正面
82,物流,很快,物流,正面
82,整体,值得信赖,整体,正面
83,_,还行,整体,中性
84,_,还不错,整体,正面
84,_,会回购,整体,正面
85,_,_,_,_
86,整体,很好用,整体,正面
86,功效,修复得很好,功效,正面
86,使用体验,光光滑的,使用体验,正面
86,整体,超喜欢的,整体,正面
87,_,速度很快,物流,正面
87,_,水润润,使用体验,正面
88,洗面奶,温和,使用体验,正面
88,洗面奶,清爽,使用体验,正面
88,洗面奶,不紧绷,使用体验,正面
88,_,买一送一很划算,价格,正面
89,_,非常好用,整体,正面
90,_,看着不错,整体,正面
91,_,挺好,整体,正面
91,_,用着不错,整体,正面
92,气味,不喜欢,气味,负面
93,_,很好用,整体,正面
93,味道,特别好闻,气味,正面
93,_,很细腻,使用体验,正面
94,价格,优惠,价格,正面
94,_,满意,整体,正面
95,_,挺好的,整体,正面
96,面膜,特别滑,使用体验,正面
96,精华液,挺多,成分,正面
97,包装,精美,包装,正面
97,价格,实惠,价格,正面
98,隔离,很不错,整体,正面
98,紫色的隔离,非常喜欢,整体,正面
98,_,送了小赠品,其他,正面
98,快递,给力的很,物流,正面
99,_,_,_,_
100,补水效果,特别好,功效,正面
100,_,特别水润,使用体验,正面
101,_,性价比高,整体,正面
101,_,还可以的,整体,中性
102,味道,淡淡的,气味,中性
102,紫色,适合黄皮的,其他,正面
102,_,不油腻,使用体验,正面
102,_,用过三瓶了,其他,中性
102,包装,新的旧的,包装,中性
103,使用体验,用后皮肤水水的,使用体验,正面
104,质量,可以,整体,中性
104,_,便宜实惠,价格,正面
105,面膜,还可以,整体,中性
105,外面那层膜,太硬了,使用体验,负面
106,_,超级好用,整体,正面
106,_,值得购买,整体,正面
107,隔离霜,很不错的,整体,正面
108,面膜,不错,整体,正面
109,_,很好用,整体,正面
109,物流,送货快,物流,正面
